Geography,Category,Data Type,Unit,Current Constant,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
World,Alcoholic Drinks,Off-trade Value RSP,USD million,Current Prices,724424.2,735281.5,716723.2,663043.1,673330.0,745595.6,815944.9,864700.7,923452.5,982903.7,1044585.2,1.401007731
World,Sub 1: Beer,Off-trade Value RSP,USD million,Current Prices,286383.6,291460.6,283805.3,257671.0,260121.1,282428.6,303375.8,316597.3,331936.8,347167.5,362400.9,1.283159354
World,Sub 1: Cider/Perry,Off-trade Value RSP,USD million,Current Prices,5252.2,5698.2,6132.2,5738.7,5406.4,5688.1,6279.2,6597.8,6964.8,7340.3,7738.1,1.36040154
World,Sub 1: RTDs/High-Strength Premixes,Off-trade Value RSP,USD million,Current Prices,17065.1,16570.4,16204.3,14845.1,15536.3,17278.7,19053.5,20338.3,21706.5,23154.7,24656.3,1.426976567
World,Sub 1: Spirits,Off-trade Value RSP,USD million,Current Prices,257722.6,258562.9,247585.1,233471.7,239775.2,277963.0,309971.9,335723.9,367299.2,399507.0,433533.3,1.559679885
World,Sub 1: Wine,Off-trade Value RSP,USD million,Current Prices,158000.7,162989.4,162996.2,151316.7,152491.0,162237.1,177264.6,185443.4,195545.2,205734.3,216256.7,1.332966997
World,Apparel and Footwear,Retail Value RSP,USD million,Current Prices,1691384.3,1735473.6,1745735.1,1644782.5,1633355.0,1696041.0,1783180.5,1849288.6,1922257.2,2001711.0,2088625.5,1.231471114
World,Sub 1: Apparel,Retail Value RSP,USD million,Current Prices,1340471.0,1372507.5,1382473.8,1305556.0,1297118.6,1344178.7,1412088.3,1461737.0,1516248.6,1575456.4,1639863.3,1.219974175
World,Sub 2: Childrenswear,Retail Value RSP,USD million,Current Prices,149793.7,154199.5,156580.9,148944.3,150735.9,159954.3,171709.6,182086.5,193093.6,205025.3,217604.7,1.360417944
World,Sub 2: Apparel Accessories,Retail Value RSP,USD million,Current Prices,65692.2,68456.2,70110.9,67653.8,67149.2,69312.8,73301.5,75786.4,78592.6,81610.4,84880.2,1.224596323
World,Sub 2: Apparel by Mens vs WoMens,Retail Value RSP,USD million,Current Prices,1069699.8,1094496.4,1100203.6,1036914.0,1027675.7,1062134.3,1112114.5,1147573.0,1186808.9,1229465.4,1276244.6,1.20158496
World,Sub 3: Menswear,Retail Value RSP,USD million,Current Prices,419047.4,429402.6,431452.5,408658.2,405181.1,419376.9,438763.7,453530.7,470064.1,488335.2,508715.7,1.21302747
World,Sub 3: Womenswear,Retail Value RSP,USD million,Current Prices,650652.4,665093.8,668751.1,628255.8,622494.6,642757.3,673350.8,694042.4,716744.8,741130.2,767528.8,1.194119149
World,Sub 2: Hosiery,Retail Value RSP,USD million,Current Prices,55285.4,55355.3,55578.3,52043.9,51557.9,52777.3,54962.8,56291.1,57753.5,59355.3,61133.8,1.158335118
World,Sub 1: Footwear,Retail Value RSP,USD million,Current Prices,350913.3,362966.2,363261.4,339226.4,336236.4,351862.3,371092.1,387551.6,406008.6,426254.6,448762.2,1.275391538
World,Sub 2: Children's Footwear,Retail Value RSP,USD million,Current Prices,46488.4,48126.1,48411.8,45856.0,45754.1,48211.4,51265.1,53849.8,56668.5,59656.6,62912.3,1.304925806
World,Sub 2: Mens Footwear,Retail Value RSP,USD million,Current Prices,122283.4,126424.1,127539.3,121975.5,122044.1,127591.3,134715.1,140790.6,147447.9,154714.6,162686.4,1.275058723
World,Sub 2: WoMens Footwear,Retail Value RSP,USD million,Current Prices,182141.4,188415.9,187310.2,171394.9,168438.2,176059.6,185111.9,192911.2,201892.2,211883.4,223163.5,1.267545195
World,Sub 1: Sportswear,Retail Value RSP,USD million,Current Prices,258044.1,267699.1,278221.9,270901.5,280458.8,300151.5,322364.3,342710.5,363904.5,385707.7,408932.2,1.362419312
World,Beauty and Personal Care,Retail Value RSP,USD million,Current Prices,461170.6,469857.1,471646.9,437284.8,441733.0,464942.4,493316.9,518732.3,545611.3,573363.7,602729.7,1.296353484
World,Sub 1: Baby / Child Goods,Retail Value RSP,USD million,Current Prices,15661.2,16256.4,16509.3,15407.9,15527.8,16490.2,17688.3,18849.9,20131.9,21522.6,23073.7,1.399237123
World,Sub 1: Bath and Shower,Retail Value RSP,USD million,Current Prices,40372.2,41023.1,41080.4,38323.8,38440.5,40033.7,42110.4,43951.8,45897.7,47893.8,50044.5,1.250059325
World,Sub 1: Colour Cosmetics,Retail Value RSP,USD million,Current Prices,60561.5,61504.1,62121.6,59083.4,61655.1,66004.0,71039.9,75526.6,80125.7,84839.7,89806.2,1.360617538
World,Sub 1: Deodorants,Retail Value RSP,USD million,Current Prices,22243.0,23252.0,23408.1,20658.5,20272.6,20979.9,22094.3,23107.6,24188.3,25338.0,26581.3,1.26698888
World,Sub 1: Depilatories,Retail Value RSP,USD million,Current Prices,5050.7,5054.7,4991.1,4636.2,4565.4,4633.8,4778.2,4923.7,5114.2,5327.4,5567.4,1.20147611
World,Sub 1: Fragrances,Retail Value RSP,USD million,Current Prices,50084.2,51434.0,51356.8,46266.7,46194.6,49383.3,52468.5,55277.0,58295.9,61443.3,64793.4,1.312050835
World,Sub 1: Hair Care,Retail Value RSP,USD million,Current Prices,80500.0,81217.7,80910.9,73270.6,72568.2,75106.2,78870.7,82193.9,85705.6,89375.4,93282.0,1.242001326
World,Sub 1: Mens Grooming,Retail Value RSP,USD million,Current Prices,50543.5,52076.0,52028.5,46988.1,47142.6,49518.9,52150.1,54697.0,57466.1,60457.9,63703.5,1.286448205
World,Sub 1: Oral Care,Retail Value RSP,USD million,Current Prices,42897.0,44155.6,44371.9,41406.4,42001.1,44247.6,46914.3,49349.9,51946.9,54647.4,57510.8,1.299749591
World,Sub 1: Skin Care,Retail Value RSP,USD million,Current Prices,117664.5,119203.1,120781.2,114930.6,117483.3,124356.4,132663.4,139935.3,147563.9,155228.2,163137.9,1.311857693
World,Sub 1: Sun Care,Retail Value RSP,USD million,Current Prices,10265.8,10645.0,10488.0,9482.1,9470.9,9986.7,10561.1,11065.6,11610.6,12188.5,12801.8,1.281884907
World,Sub 1: Premium Beauty/Personal Care,Retail Value RSP,USD million,Current Prices,105838.7,107190.0,109374.6,105146.0,109232.5,116715.9,125718.1,133708.2,141752.8,149717.3,157791.5,1.351928058
World,Sub 1: Mass Beauty and Personal Care,Retail Value RSP,USD million,Current Prices,290690.4,296539.2,296482.7,271542.7,271644.8,284859.6,300973.6,315358.5,330887.2,347193.1,364767.9,1.280518192
World,Consumer Appliances,Retail Value RSP,USD million,Current Prices,374874.3,396544.2,400584.1,375734.7,380882.5,405263.6,417976.3,436689.6,456630.2,477166.5,498190.9,1.22930088
World,Sub 1: Major Appliances,Retail Value RSP,USD million,Current Prices,209162.4,218329.4,220256.0,206513.9,209866.7,218756.6,226353.2,236313.1,246989.2,257932.8,269039.8,1.229859122
World,Sub 2: Dishwashers,Retail Value RSP,USD million,Current Prices,12647.4,13296.3,13948.9,12919.4,13467.9,14265.0,15035.7,15833.8,16453.6,16991.8,17487.1,1.225874518
World,Sub 2: Home Laundry Appliances,Retail Value RSP,USD million,Current Prices,51837.8,54539.2,55561.8,51922.0,53042.9,55727.2,57642.4,60058.7,62746.1,65625.5,68478.1,1.228809271
World,Sub 2: Large Cooking Appliances,Retail Value RSP,USD million,Current Prices,51321.1,52750.2,53724.8,50811.1,52014.3,53924.1,55723.1,58302.8,61026.9,63751.8,66583.6,1.234765161
